x,y,z,directionX,directionY,directionZ,q_magnitude
1,1,1.5,0.319772,-0.333994,0.886676,3.39865e-06
0.5,1.5,-1.5,0.405836,-0.401309,0.821126,4.36451e-05
1,1.5,-1,0.431935,-0.24376,0.868339,6.20062e-05
0.5,1.5,-0.5,0.486821,-0.0382866,0.872662,2.813e-05
1,1.5,0,0.474484,-0.121452,0.871846,2.13456e-05
0.5,1.5,0.5,0.458136,-0.187452,0.868892,8.61394e-06
1,1.5,1,0.415583,-0.244731,0.876012,6.87193e-06
0.5,1.5,1.5,0.391056,-0.278029,0.877368,3.12383e-06
1.5,-1.5,-1.5,0.103407,-0.682356,0.723669,3.1674e-05
1.75,-1.25,-1.25,0.197949,-0.564986,0.801004,8.26179e-06
2,-1.5,-1,0.135296,-0.594999,0.792257,3.23285e-05
2.25,-1.25,-0.75,0.0925797,-0.654139,0.750687,1.2178e-05
1.5,-1,-1,0.200617,-0.523741,0.827918,3.48477e-05
1.75,-0.75,-0.75,0.158916,-0.585279,0.795106,1.33412e-05
2,-1,-1.5,0.160864,-0.640489,0.75093,4.93422e-05
2.25,-0.75,-1.25,0.250622,-0.494887,0.832031,1.30041e-05
1.5,-1.5,-0.5,0.319172,-0.336729,0.885857,1.20753e-05
1.75,-1.25,-0.25,0.0171359,-0.649577,0.760102,4.82967e-06
2,-1.5,0,0.21851,-0.425985,0.877946,7.78663e-06
2.25,-1.25,0.25,-0.104455,-0.638365,0.762613,3.40471e-06
1.5,-1,0,0.283444,-0.370291,0.884615,8.76824e-06
1.75,-0.75,0.25,0.0104889,-0.583414,0.812107,3.80921e-06
2,-1,-0.5,0.339711,-0.30745,0.888859,2.13292e-05
2.25,-0.75,-0.25,0.0633877,-0.611827,0.788448,7.4748e-06
1.5,-1.5,0.5,0.141344,-0.475329,0.86838,3.38798e-06
1.75,-1.25,0.75,-0.139134,-0.593446,0.792757,1.82606e-06
2,-1.5,1,-0.0300157,-0.523226,0.851665,2.20941e-06
2.25,-1.25,1.25,-0.306707,-0.551095,0.776032,1.27227e-06
1.5,-1,1,0.105131,-0.48257,0.869525,2.61115e-06
1.75,-0.75,1.25,-0.134111,-0.520232,0.843429,1.47913e-06
2,-1,0.5,0.172364,-0.448358,0.877078,5.77052e-06
